"id","requirement","stage","source","verification_command","evidence_path","status","blocker"
"S2-11","A failed or rejected migration restores a verified runtime backup without modifying the quarantine source","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 9","node --test backend/src/legacy/migration.test.js","docs/release/evidence/stage-2/commands.md","verified","Interruption rollback active-WAL refusal repeat protection and unchanged quarantine invariants pass focused tests."
"S2-12","better-sqlite3 is rebuilt and loaded against the pinned Electron native ABI from an isolated staging tree","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 10","npm run verify:native","docs/release/evidence/stage-2/commands.md","verified","Staging tests pass 13/13 and Electron 43.2.0 completed the external SQLite migration write read checkpoint and close smoke."
"S2-13","Quarantine databases sidecars manifests settings reports and migration work stay outside Git builds exports logs and test discovery","2","docs/superpowers/plans/2026-07-25-stage-2-backend-foundation.md Task 8","npm run check:hygiene","docs/release/evidence/stage-2/README.md","verified","Focused inspection and hygiene tests pass 81/81; Git-aware repository hygiene and secret scanning pass."
"S2-14","The exposed Gemini credential has provider-confirmed revocation before release","2","SECURITY.md Credential revocation","Manual Gemini provider revocation confirmation","docs/release/evidence/stage-2/README.md","blocked","Provider revocation is external and remains unconfirmed."
"S3-01","All content interactions memory scores graph and learning records are owner scoped revisioned and synchronized transactionally","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Tasks 2 through 4","node --test backend/src/domain/content/*.test.js backend/src/domain/graph/*.test.js backend/src/domain/learning/*.test.js","docs/release/evidence/stage-3/commands.md","verified","Owner-scoped content graph learning and settings services plus canonical sync recording pass the Stage 3 domain and backend gates."
"S3-02","Durable jobs use unique idempotency keys atomic leases bounded retry heartbeat cancellation and restart recovery","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Task 6","node --test backend/src/jobs/*.test.js backend/src/scheduler/*.test.js","docs/release/evidence/stage-3/commands.md","verified","Durable job and scheduler tests pass 12/12 with zero skips."
"S3-03","Reminder transitions scheduling retry exhaustion and delivery acknowledgements remain explicit per device","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Task 5","node --test backend/src/domain/reminders/*.test.js backend/src/routes/reminder-routes.test.js","docs/release/evidence/stage-3/commands.md","verified","Reminder service worker restart retry exhaustion and per-device acknowledgement tests pass."
"S3-04","Remote acquisition rejects SSRF at every DNS and redirect boundary and enforces time byte compression and content limits","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Task 7","node --test backend/src/remote/*.test.js","docs/release/evidence/stage-3/commands.md","verified","Hardened DNS address redirect timeout compression byte content-type and sanitization tests pass 22/22."
"S3-05","Optional AI configuration protects provider secrets and reports not configured queued completed failed and cancelled states truthfully","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Task 8","node --test backend/src/ai/*.test.js backend/src/domain/research/*.test.js","docs/release/evidence/stage-3/commands.md","verified","Owner-isolated protected provider configuration and truthful AI and research state tests pass."
"S3-06","Versioned import export backup and restore are owner scoped bounded dry run first transactional and secret free","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Task 9","node --test backend/src/import-export/*.test.js backend/src/routes/import-export-routes.test.js","docs/release/evidence/stage-3/commands.md","verified","Checksummed bundle dry-run backup-first import rollback and protected artifact tests pass 21/21."
"S3-07","Synchronization is append only idempotent monotonic tombstone aware conflict preserving snapshot capable and convergent","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Task 10","node --test backend/src/sync/*.test.js backend/src/routes/sync-routes.test.js","docs/release/evidence/stage-3/commands.md","verified","Sync entity operation cursor conflict snapshot tombstone and convergence tests pass."
"S3-08","Revoked devices cannot push pull acknowledge snapshot or reconnect through the LAN gateway","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Tasks 10 and 11","node --test backend/src/sync/*.test.js backend/src/lan/*.test.js","docs/release/evidence/stage-3/commands.md","verified","Revoked-device enforcement passes through synchronization and the LAN transport boundary."
"S3-09","Mobile LAN synchronization is disabled by default and uses explicit private interface binding mutual TLS pinning pairing rate limits and bounded traffic","3","docs/superpowers/plans/2026-07-25-stage-3-domain-and-sync.md Task 11","node --test backend/src/lan/*.test.js","docs/release/evidence/stage-3/commands.md","verified","The disabled-default bounded TLS private-subnet gateway passes its focused transport and authentication tests."
"S4-01","Chrome extension storage and messages use exact bounded contracts and recursively reject credential-bearing state","4","docs/superpowers/plans/2026-07-28-stage-4-chrome-extension.md Task 1","npm run test:extension","docs/release/evidence/stage-4/chrome-commands.md","verified","The focused Chrome suite passes within the 73/73 aggregate with zero skips and removes legacy provider credential fields."
"S4-02","The Chrome service worker uses one bounded authenticated loopback API client with explicit truthful connection states","4","docs/superpowers/plans/2026-07-28-stage-4-chrome-extension.md Task 2","npm run test:extension","docs/release/evidence/stage-4/chrome-commands.md","verified","Production bootstrap reads validated local-install authorization from session-only extension storage and the bounded client keeps it out of URLs logs errors and responses."
"S4-03","Chrome capture is opt in awaits a complete privacy snapshot excludes sensitive contexts and immediately disposes listeners when disabled","4","docs/superpowers/plans/2026-07-28-stage-4-chrome-extension.md Task 3","npm run test:extension","docs/release/evidence/stage-4/chrome-commands.md","verified","Privacy and content startup tests are included in the 73/73 zero-skip Chrome aggregate."
"S4-04","Chrome popup rendering is text only protocol checked accessible and cannot bypass the service-worker request boundary","4","docs/superpowers/plans/2026-07-28-stage-4-chrome-extension.md Task 4","npm run test:extension","docs/release/evidence/stage-4/chrome-commands.md","verified","Safe DOM popup state and request-boundary tests pass and the disposable package rejects executable HTML."
"S4-05","The Manifest V3 service worker recovers state idempotently and preserves truthful cursor conflict notification and retry behavior","4","docs/superpowers/plans/2026-07-28-stage-4-chrome-extension.md Task 5","npm run test:extension","docs/release/evidence/stage-4/chrome-commands.md","verified","Restart recovery context menu notification retry cursor persistence and unknown-message tests pass in the Chrome aggregate."
"S4-06","The Chrome package has strict local-only policy minimum used permissions no remotely hosted code and no credential or unsafe-rendering artifacts","4","docs/superpowers/plans/2026-07-28-stage-4-chrome-extension.md Task 6","npm run validate:extension","docs/release/evidence/stage-4/chrome-commands.md","verified","Disposable validation passes for 16 production files and 11 manifest references with the exact five-permission set recorded in evidence."
"S4-07","The complete Stage 4 exit gate includes production extension authentication Git-aware repository hygiene and the separate Android client acceptance","4","docs/superpowers/specs/2026-07-25-easy-rewind-complete-release-and-android-sync-design.md Stage 4","npm run test:mobile && npm run validate:mobile && npm run check:hygiene","docs/release/evidence/stage-4/android-commands.md","blocked","Android automated source gates are recorded separately; a development build emulator or physical-device acceptance APK or AAB inspection and authorized Git-aware hygiene remain required before Stage 4 can close."
"S5-01","The dashboard is decomposed into external local browser ESM assets under a strict CSP with no inline code handlers styles or remote assets","5","docs/superpowers/plans/2026-07-25-stages-2-7-release-roadmap.md Stage 5","npm run validate:dashboard","docs/release/evidence/stage-5/dashboard-commands.md","verified","The source validator passes the exact eight-asset local-only inventory and dependency-free browser ESM syntax."
"S5-02","Dashboard installation authorization is session only Bearer authenticated credential free outside sessionStorage and bound to the authenticated profile","5","docs/superpowers/specs/2026-07-25-easy-rewind-complete-release-and-android-sync-design.md Section 7.2","npm run test:dashboard","docs/release/evidence/stage-5/dashboard-commands.md","verified","Session authorization header isolation owner-override rejection and cross-profile response failure pass within the 46-test aggregate."
"S5-03","Dashboard API and collection models enforce loopback origin timeout cancellation response bounds pagination text limits and explicit loading empty partial error and retry states","5","docs/superpowers/plans/2026-07-25-stages-2-7-release-roadmap.md Stage 5","npm run test:dashboard","docs/release/evidence/stage-5/dashboard-commands.md","verified","Bounded API and seven collection view-model families pass their focused tests within the 46-test aggregate."
"S5-04","All untrusted dashboard content uses safe DOM construction and protocol checked URLs without HTML parser sinks or direct network bypasses","5","docs/superpowers/specs/2026-07-25-easy-rewind-complete-release-and-android-sync-design.md Section 7.2","npm run validate:dashboard","docs/release/evidence/stage-5/dashboard-commands.md","verified","Safe DOM URL XSS and integrated source checks pass with no parser sinks or direct network bypasses."
"S5-05","The knowledge graph uses bounded responsive deterministic SVG with keyboard focus safe links and reduced-motion-neutral rendering","5","docs/superpowers/plans/2026-07-25-stages-2-7-release-roadmap.md Stage 5","npm run test:dashboard","docs/release/evidence/stage-5/dashboard-commands.md","verified","Deterministic bounded SVG keyboard activation profile isolation and motion-neutral source tests pass."
"S5-06","The backend serves only the exact dashboard assets with no-store security headers traversal resistance and unchanged API authentication","5","docs/superpowers/plans/2026-07-25-stages-2-7-release-roadmap.md Stage 5","npm run test:dashboard","docs/release/evidence/stage-5/dashboard-commands.md","verified","The frozen backend asset allowlist traversal resistance security headers and unchanged API authentication pass."
"S5-07","The complete Stage 5 exit gate includes real-browser accessibility keyboard focus reduced-motion responsive offline retry import export conflict and destructive-action acceptance","5","docs/superpowers/plans/2026-07-25-stages-2-7-release-roadmap.md Stage 5","npm run test:dashboard && npm run validate:dashboard && npm run check:hygiene","docs/release/evidence/stage-5/dashboard-commands.md","blocked","Automated source gates and Git-aware hygiene plus retained desktop tablet and narrow browser acceptance are required before Stage 5 can close."
"S6-01","Electron embeds the shared backend modules without importing Electron in core modules or spawning system Node","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Work packages 1 through 4","node --test desktop/*.test.js && npm --workspace backend test","docs/release/evidence/stage-6/commands.md","verified","Desktop passes 67/67 and the Electron-independent backend passes 570/570 with zero failures and zero skips."
"S6-02","Development packaged and runtime paths are separated bounded and valid with spaces and non-ASCII characters","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Work packages 1 and 2","Desktop resource tests plus real Windows embedded lifecycle smoke","docs/release/evidence/stage-6/traceability.md","verified","Resource tests cover repository and app.asar layouts; real Windows protected adapters applied current-user ACLs and SQLite opened and closed beneath isolated LocalAppData."
"S6-03","Electron centralizes IPC validates senders payloads API paths navigation and notification actions and exposes a narrow preload bridge","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Work packages 4 and 6","node --test desktop/main-process-controller.test.js desktop/main.test.js desktop/overlay-surface.test.js","docs/release/evidence/stage-6/commands.md","verified","Focused tests are included in the 67-test desktop aggregate."
"S6-04","Startup waits for backend health and shutdown idempotently stops desktop and backend resources","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Work packages 3 and 5","node --test desktop/main.test.js desktop/backend-lifecycle.test.js","docs/release/evidence/stage-6/recovery.md","verified","Startup health rollback repeated stop and ordered quit behaviors pass within the desktop aggregate."
"S6-05","better-sqlite3 is rebuilt and exercised against Electron 43.2.0 in isolated staging","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Work package 7","npm run verify:native","docs/release/evidence/stage-6/commands.md","verified","Electron 43.2.0 native rebuild and SQLite migration write read checkpoint and close smoke pass."
"S6-06","Windows packages include only required runtime sources and exclude sensitive runtime quarantine test map and credential material","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Work package 8","npm run test:desktop-package && npm run validate:desktop-package","docs/release/evidence/stage-6/commands.md","verified","Package validation passes 21/21 after correcting ASAR-root resource inspection."
"S6-07","Per-user NSIS and portable Windows artifacts use real icons and remain unmistakably unsigned until release signing","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Work package 9","npm run package:windows and unpacked executable health smoke","docs/release/evidence/stage-6/commands.md","implemented","NSIS and portable x64 artifacts build with UNSIGNED names; a fresh unpacked executable reached status-ok health and created protected runtime SQLite, while signing and installer acceptance remain unclaimed."
"S6-08","The complete Stage 6 gate includes clean standard-user Windows lifecycle no-system-Node upgrade uninstall artifact signing and provider revocation acceptance","6","docs/superpowers/plans/2026-07-25-stage-6-electron-windows.md Exit gate","Manual clean Windows matrix and Authenticode verification","docs/release/evidence/stage-6/commands.md","blocked","No retained clean Windows or signing evidence exists and provider-side Gemini revocation remains unconfirmed."
"S7-01","Pinned CI executes all required source security backend client native and packaging gates from a clean checkout","7","docs/superpowers/plans/2026-07-25-stage-7-release.md Work packages 1 and 2","GitHub Actions Stage 7 workflow and focused workflow contracts","docs/release/evidence/stage-7/commands.md","implemented","Immutable-action workflows cover quality backend clients Electron packaging and checksums and focused contracts pass 12/12; no completed clean remote run is claimed."
"S7-02","Release artifacts are inspected checksum-bound redacted and exclude sensitive data","7","docs/superpowers/plans/2026-07-25-stage-7-release.md Work packages 3 and 4","Stage 7 deterministic artifact inspection and SHA-256 manifest generation","docs/release/evidence/stage-7/commands.md","implemented","Inspectors and explicitly non-release CI uploads exist; retained signed Windows installed Android and final release manifests remain pending."
"S7-03","Install onboarding pairing offline sync privacy backup restore migration conflict revocation troubleshooting development testing signing and rollback are documented","7","docs/superpowers/plans/2026-07-25-stage-7-release.md Work package 5","Focused Prettier check over README SECURITY and Stage 6/7 documentation","docs/release/evidence/stage-7/traceability.md","verified","Focused documentation formatting passes and README SECURITY and Stage 6/7 plan evidence traceability and recovery documents cover the required boundaries without claiming manual acceptance."
"S7-04","The exposed Gemini credential has provider-confirmed revocation before release","7","SECURITY.md Credential incidents","Manual Gemini provider revocation confirmation","docs/release/evidence/stage-7/commands.md","blocked","Provider revocation is external and remains unconfirmed; quarantine deletion and history rewrite cannot satisfy it."
"S7-05","Windows release artifacts are Authenticode signed timestamped and verified before publication","7","README.md Windows packaging and signing","signtool verify /pa /all /v <final-artifact.exe>","docs/release/evidence/stage-7/commands.md","blocked","No authorized signing certificate or retained signature evidence exists."
"S7-06","Clean Windows Chrome dashboard and physical Android cross-device acceptance passes","7","docs/superpowers/plans/2026-07-25-stage-7-release.md Work package 6","Manual clean-room acceptance matrix","docs/release/evidence/stage-7/commands.md","blocked","No retained clean Windows real-browser or physical-device run exists."
"S7-07","No unresolved prior-stage automated manual security migration synchronization signing or recovery blocker remains","7","docs/superpowers/plans/2026-07-25-stage-7-release.md Final gate","Complete requirement-to-evidence ledger","docs/release/evidence/stage-7/traceability.md","blocked","Stage 4 physical-device Stage 5 browser Stage 6 Windows/signing and provider-revocation blockers keep the production release gate open."
